Year,EMPLOYER_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,PHONE,FAX,CREATED_DATE,ACTIVE
2013,8441,"Airport Management Services, LLC",One Meadowlands Plaza,#902,E. Rutherford,NJ,07073,United States,407-366-6571,407-977-7418       ,05/06/2013,Y
2012,4440,"Airport Management Services, LLC","One Meadowlands Plaza, Ste. 902",,E. Rutherford,NJ,07073,United States,201-939-5050,201-939-1353      ,,N
2012,4609,"Airport Management Services, LLC","One Meadowlands Plaza, #902",,E. Rutherford,NJ,07073,United States,407-366-6571,407-977-7418       ,,Y
2011,4440,"Airport Management Services, LLC","One Meadowlands Plaza, Ste. 902",,E. Rutherford,NJ,07073,United States,201-939-5050,201-939-1353      ,,N
2011,4609,"Airport Management Services, LLC","One Meadowlands Plaza, #902",,E. Rutherford,NJ,07073,United States,407-366-6571,407-977-7418       ,,Y
2011,4746,"Airport Management Services, LLC","One Meadowlands Plaza, 9th Flr",,East Rutherford,NJ,07073,United States,201-939-5050,201-729-1324      ,,Y
2011,4859,A. LaVelle Consulting Services,101 W. Grand Ave. #600,,Chicago,IL,60654,United States,312-223-0581,312-223-0582        ,,Y
,6321,Alexander Acevedo,2520 S. Oakley,,Chicago,IL,60608,United States,7737420698,,10/12/2012,Y
,6362,Alexander Acevedo,2520 S. Oakley,,Chicago,IL,60608,United States,7737420698,,10/16/2012,Y
2015,8381,"Alexander & Borovicka Government Solutions, LLC",230 W. Monroe St.,Suite 2221,Chicago,IL,60606,United States,312-759-7505,,05/01/2013,Y
2014,8381,"Alexander & Borovicka Government Solutions, LLC",230 W. Monroe St.,Suite 2221,Chicago,IL,60606,United States,312-759-7505,,05/01/2013,Y
2013,8381,"Alexander & Borovicka Government Solutions, LLC",230 W. Monroe St.,Suite 2221,Chicago,IL,60606,United States,312-759-7505,,05/01/2013,Y
2015,4134,"ALL-CIRCO, Inc.","670 N. Clark St., 4th Flr",,Chicago,IL,60654,United States,312-344-2791,312-277-3939        ,,Y
2014,4134,"ALL-CIRCO, Inc.","670 N. Clark St., 4th Flr",,Chicago,IL,60654,United States,312-344-2791,312-277-3939        ,,Y
2013,4134,"ALL-CIRCO, Inc.","670 N. Clark St., 4th Flr",,Chicago,IL,60654,United States,312-344-2791,312-277-3939        ,,Y
2012,4134,"ALL-CIRCO, Inc.","670 N. Clark St., 4th Flr",,Chicago,IL,60654,United States,312-344-2791,312-277-3939        ,,Y
2012,4364,"ALL-CIRCO, Inc.","111 W. Washington St., Suite 1920",,Chicago,IL,60602,United States,312-750-9262,312-750-9273 ,,Y
2012,4541,"ALL-CIRCO, Inc.","670 N. Clark St., 4th Flr",,Chicago,IL,60654,United States,312-750-9262,312-750-9273      ,,N
2011,4134,"ALL-CIRCO, Inc.","670 N. Clark St., 4th Flr",,Chicago,IL,60654,United States,312-344-2791,312-277-3939        ,,Y
2011,4364,"ALL-CIRCO, Inc.","111 W. Washington St., Suite 1920",,Chicago,IL,60602,United States,312-750-9262,312-750-9273 ,,Y
2011,4541,"ALL-CIRCO, Inc.","670 N. Clark St., 4th Flr",,Chicago,IL,60654,United States,312-750-9262,312-750-9273      ,,N
2011,4838,"Alliance Associates, Inc",5650 S. Archer,,Chicago,IL,60638,United States,312-582-5252,773-581-0192       ,,Y
2015,11801,Alliance of Automobile Manufacturers,803 7th Street NW,Suite 300,Washington,DC,20001,United States,202-326-5500,,11/21/2014,Y
2014,11801,Alliance of Automobile Manufacturers,803 7th Street NW,Suite 300,Washington,DC,20001,United States,202-326-5500,,11/21/2014,Y
2013,4227,"Allied Telesis, Inc",3200 N. First St.,,San Jose,CA,95134,United States,408-519-8700,408-519-8701     ,,Y
2012,4227,"Allied Telesis, Inc",3200 N. First St.,,San Jose,CA,95134,United States,408-519-8700,408-519-8701     ,,Y
2011,4227,"Allied Telesis, Inc",3200 N. First St.,,San Jose,CA,95134,United States,408-519-8700,408-519-8701     ,,Y
2012,4324,Amanda Conochalla,"4320 Winfield Rd., Ste. 400",,Warrenville,IL,60555,United States,630-836-7214,630-836-7299    ,,Y
2013,4404,"Ameresco, Inc","111 Speen Street, Ste. 410",,Framingham,MA,01701,United States,508-661-2200,        ,,Y
2012,4404,"Ameresco, Inc","111 Speen Street, Ste. 410",,Framingham,MA,01701,United States,508-661-2200,        ,,Y
2011,4404,"Ameresco, Inc","111 Speen Street, Ste. 410",,Framingham,MA,01701,United States,508-661-2200,        ,,Y
2014,10223,America Friends Service Committee,637 S. Dearborn St.,,Chicago,IL,60605,United States,312-427-2533,312-427-4171,01/16/2014,Y
2013,7121,American Airlines / AMR Corp.,4333 Amon Carter Blvd.,,Ft. Worth,TX,76155,United States,817-967-2340,817-967-1499      ,01/09/2013,Y
2012,4595,American Airlines / AMR Corp.,4333 Amon Carter Blvd.,,Ft. Worth,TX,76155,United States,817-967-1575,817-967-1499      ,,Y
2011,4595,American Airlines / AMR Corp.,4333 Amon Carter Blvd.,,Ft. Worth,TX,76155,United States,817-967-1575,817-967-1499      ,,Y
2015,7530,American Beverage Association,1101 16th St NW,,Washington,DC,20036,United States,4153896800,4153886874,01/18/2013,Y
2014,7530,American Beverage Association,1101 16th St NW,,Washington,DC,20036,United States,4153896800,4153886874,01/18/2013,Y
2013,7530,American Beverage Association,1101 16th St NW,,Washington,DC,20036,United States,4153896800,4153886874,01/18/2013,Y
2012,6723,American Beverage Association,1101 16th St NW,,Washington,DC,20036,United States,2024636738,,12/05/2012,Y
2015,12182,"American Express Travel Related Services Company, Inc",200 Vesey St,,New York,NY,10285,United States,212-640-0021,,02/23/2015,Y
2014,11261,American Forest & Paper Assoc.,"1101 K Street, NW",Ste. 700,Washington,DC,20005,United States,202-463-2700,202-463-2423,06/11/2014,Y
2015,4253,American Friends Service Committee,"637 S Dearborn St., 3rd Flr",,Chicago,IL,60605,United States,312-427-2533,312-427-4171  ,,Y
2013,7828,American Friends Service Committee,637 S Dearborn St.,,Chicago,IL,60605,United States,312-427-2533,312-427-4171  ,02/06/2013,Y
2012,4253,American Friends Service Committee,"637 S Dearborn St., 3rd Flr",,Chicago,IL,60605,United States,312-427-2533,312-427-4171  ,,Y
2014,11461,American Petroleum Institute,1220 L Street NW,,Washington,DC,20005,United States,202-682-8000,202-682-8000,07/28/2014,Y
,12091,American Progressive Bag Alliance,"1425 K Street, N.W.",#500,Washington,DC,20005,United States,202-974-5200,,01/19/2015,Y
2012,4590,"American Traffic Solutions, Inc",7681 E Gray Rd,,Scottsdale,AZ,85260,United States,480-596-4700, 480-596-450  ,,Y
2014,7541,"American Traffic Solutions, Inc. ",1330 W. Southern Avenue,Suite 101,Tempe,AZ,85282,United States,4805964834,,01/19/2013,Y
2013,7541,"American Traffic Solutions, Inc. ",1330 W. Southern Avenue,Suite 101,Tempe,AZ,85282,United States,4805964834,,01/19/2013,Y
2015,5781,"AMI Group, LLC",205 N Michigan Ave,Ste. 1910,Chicago,IL,60601,United States,312-262-6840,312-376-3470,08/24/2012,Y
2014,5701,"AMI Group, LLC",205 N Michigan Ave,Ste. 1910,Chicago,IL,60601,United States,312-262-6840,,08/10/2012,Y
2013,5621,"AMI Group, LLC",205 N Michigan Ave,Ste. 1910,Chicago,IL,60601,United States,312-262-6870,312-376-3470,08/02/2012,Y
2013,8801,"AMI Group, LLC",205 N Michigan Ave,Ste. 1910,Chicago,IL,60601,United States,312-262-6840,312-376-3470,07/11/2013,Y
2012,5621,"AMI Group, LLC",205 N Michigan Ave,Ste. 1910,Chicago,IL,60601,United States,312-262-6870,312-376-3470,08/02/2012,Y
2012,5701,"AMI Group, LLC",205 N Michigan Ave,Ste. 1910,Chicago,IL,60601,United States,312-262-6840,,08/10/2012,Y
2012,5781,"AMI Group, LLC",205 N Michigan Ave,Ste. 1910,Chicago,IL,60601,United States,312-262-6840,312-376-3470,08/24/2012,Y
2015,12044,Anderson & Moore PC,111 W Washington ,Suite 1720,Chicago,IL,60514,United States,312-251-1500,312-251-1509,01/02/2015,Y
2015,12045,Anderson & Moore PC,111 W Washington,Suite 1720,Chicago,IL,60602,United States,312-251-1500,312-251-1509,01/02/2015,Y
2014,10441,Anderson & Moore P.C.,111 W Washington ,Suite 1720,Chicago,IL,60602,United States,312-251-1500,312-251-1509,01/27/2014,Y
2014,4676,"Anderson & Moore, P.C.","111 W. Washington, Ste 1100",,Chicago,IL,60602,United States,312-251-1500,312-251-1509,,Y
2013,4676,"Anderson & Moore, P.C.","111 W. Washington, Ste 1100",,Chicago,IL,60602,United States,312-251-1500,312-251-1509,,Y
2012,4676,"Anderson & Moore, P.C.","111 W. Washington, Ste 1100",,Chicago,IL,60602,United States,312-251-1500,312-251-1509,,Y
,4187,"Anderson & Moore, P.C.","111 W. Washington, Ste. 1100",,Chicago,IL,60602,United States,312-251-1500,312-251-1509      ,,N
2015,12721,Andrade Consulting LLC,3910 N TROY ST,SUITE 2,CHICAGO,IL,60618,United States,7734434242,,06/15/2015,Y
2015,11822,Ann & Robert H. Lurie Children's Hospital of Chicago,225 E Chicago Avenue,,Chicago,IL,60611,United States,312-227-4000,,11/26/2014,Y
2014,11821,Ann & Robert H. Lurie Children's Hospital of Chicago,225 E. Chicago Avenue,,Chicago,IL,60611,United States,312-227-4264,,11/26/2014,Y
2014,11822,Ann & Robert H. Lurie Children's Hospital of Chicago,225 E Chicago Avenue,,Chicago,IL,60611,United States,312-227-4000,,11/26/2014,Y
2015,9881,Ansaldo STS USA,1000 Technology Dr,,Pittsburgh,PA,15219,United States,800-351-1520,866-685-1507,12/31/2013,Y
2014,4403,"Ansaldo STS USA, Inc",1000 Technology Dr,,Pittsburgh,PA,15219,United States,412-688-2400,412-688-2399     ,,Y
2013,4403,"Ansaldo STS USA, Inc",1000 Technology Dr,,Pittsburgh,PA,15219,United States,412-688-2400,412-688-2399     ,,Y
2012,4403,"Ansaldo STS USA, Inc",1000 Technology Dr,,Pittsburgh,PA,15219,United States,412-688-2400,412-688-2399     ,,Y
2011,4403,"Ansaldo STS USA, Inc",1000 Technology Dr,,Pittsburgh,PA,15219,United States,412-688-2400,412-688-2399     ,,Y
2011,4792,AnswersMedia LLC,"400 W. Erie St., 2nd Flr",,Chicago,IL,60654,United States,312-421-0113, 312-421-145  ,,N
2011,4951,AnswersMedia LLC,"400 W. Erie St., 2nd Flr",,Chicago,IL,60654,United States,312-421-0113, 312-421-145     ,,Y
2015,12241,Apex Strategy LLC,12934 S HOUSTON,,Chicago,IL,60633-1212,United States,7734479563,,03/06/2015,Y
2015,4430,"Applegate & Thorne-Thomsen, PC","626 W. Jackson Blvd., Ste. 400",,Chicago,IL,60661,United States,312-491-4400,312-491-4411       ,,Y
2014,4430,"Applegate & Thorne-Thomsen, PC","626 W. Jackson Blvd., Ste. 400",,Chicago,IL,60661,United States,312-491-4400,312-491-4411       ,,Y
2013,4430,"Applegate & Thorne-Thomsen, PC","626 W. Jackson Blvd., Ste. 400",,Chicago,IL,60661,United States,312-491-4400,312-491-4411       ,,Y
2012,4430,"Applegate & Thorne-Thomsen, PC","626 W. Jackson Blvd., Ste. 400",,Chicago,IL,60661,United States,312-491-4400,312-491-4411       ,,Y
2011,4430,"Applegate & Thorne-Thomsen, PC","626 W. Jackson Blvd., Ste. 400",,Chicago,IL,60661,United States,312-491-4400,312-491-4411       ,,Y
2015,4809,Apple Inc.,"c/o 2350 Kerner Blvd., Ste. 250",,San Rafael,CA,94901,United States,415-389-6800,415-388-6874        ,,Y
2013,4809,Apple Inc.,"c/o 2350 Kerner Blvd., Ste. 250",,San Rafael,CA,94901,United States,415-389-6800,415-388-6874        ,,Y
2011,4809,Apple Inc.,"c/o 2350 Kerner Blvd., Ste. 250",,San Rafael,CA,94901,United States,415-389-6800,415-388-6874        ,,Y
2014,10285,Apple Inc. ,"c/o 2350 Kerner Blvd., Ste. 250",,San Rafael,CA,94901,United States,(415) 389-6800,,01/17/2014,Y
2015,10421,Arnold Scott Harris PC,111 W Jackson,Ste. 600,Chicago,IL,60604,United States,312-423-7420,312-423-7563,01/24/2014,Y
2014,10421,Arnold Scott Harris PC,111 W Jackson,Ste. 600,Chicago,IL,60604,United States,312-423-7420,312-423-7563,01/24/2014,Y
2013,4204,Arnold Scott Harris PC,222 Merchandise Mart #1932,,Chicago,IL,60654,United States,312-423-7420,312-759-5411        ,,Y
2013,7566,Arnold Scott Harris PC,"111 E Wacker Dr.,",#600,Chicago,IL,60604,United States,312-423-7400,312-803-0020,01/22/2013,Y
2012,4204,Arnold Scott Harris PC,222 Merchandise Mart #1932,,Chicago,IL,60654,United States,312-423-7420,312-759-5411        ,,Y
2012,4622,Arnold Scott Harris PC,222 Merchandise Mart #1932,,Chicago,IL,60654,United States,312-423-7400,312-803-0020        ,,N
2011,4204,Arnold Scott Harris PC,222 Merchandise Mart #1932,,Chicago,IL,60654,United States,312-423-7420,312-759-5411        ,,Y
2011,4622,Arnold Scott Harris PC,222 Merchandise Mart #1932,,Chicago,IL,60654,United States,312-423-7400,312-803-0020        ,,N
2013,4330,Arnstein & Lehr LLP,120 S. Riverside Plaza  #1200,,Chicago,IL,60606,United States,312-876-7100,312-876-0288   ,,Y
2012,4330,Arnstein & Lehr LLP,120 S. Riverside Plaza  #1200,,Chicago,IL,60606,United States,312-876-7100,312-876-0288   ,,Y
2015,12381,Aronberg Goldgehn Davis & Garmisa,330 N. Wabash,Suite 1700,Chicago,IL,60611,United States,312 828-9600,,04/14/2015,Y
2015,11941,Association of Global Automakers,1050 K St. NW,Suite 650,Washington,DC,20001,United States,202-650-5547,202-650-5556,12/05/2014,Y
2014,11941,Association of Global Automakers,1050 K St. NW,Suite 650,Washington,DC,20001,United States,202-650-5547,202-650-5556,12/05/2014,Y
2014,10405,"AstraZeneca Pharmaceuticals, LP",1800 Concord Pike,P.O. Box 15437,Wilimgton,DE,19803,United States,302-885-2319 ,302-886-5015     ,01/22/2014,Y
2012,4136,Astronics DME Corp,6830 N.W. 16th Terrace,,Ft. Lauderdale,FL,33309,United States,954-975-2250,954-979-3313  ,,Y
2011,4756,Astronics DME Corp.,6830 N.W. 16th Terrace,,Ft. Lauderdale,FL,33309,United States,954-975-2250, 954-979-331  ,,N
2015,10102,Astronics DME Corporation,6830 NW 16th Terrace,,Ft. Lauderdale,FL,33309,United States,9549752250,954-979-3313,01/10/2014,Y
2014,10102,Astronics DME Corporation,6830 NW 16th Terrace,,Ft. Lauderdale,FL,33309,United States,9549752250,954-979-3313,01/10/2014,Y
2013,7824,Astronics DME Corporation,6830 NW 16th Terrace,310,Ft. Lauderdale,FL,33309,United States,9549752250,954-979-3313,02/05/2013,Y
2015,4605,AT&T Illinois,"225 W. Randolph St., Ste.27A",,Chicago,IL,60606,United States,312-727-4221,312-727-3722      ,,Y
2015,7761,AT&T Illinois,225 W. Randolph St.,Ste 27C,Chicago,IL,60606,United States,312-727-2621,312-420-8898,01/30/2013,Y
2015,13081,AT&T Illinois,225 W. Randolph St.,Ste 27D,Chicago,IL,60606,United States,312-727-2621,312-420-8898,07/23/2015,Y
2014,4605,AT&T Illinois,"225 W. Randolph St., Ste.27A",,Chicago,IL,60606,United States,312-727-4221,312-727-3722      ,,Y
2013,4605,AT&T Illinois,"225 W. Randolph St., Ste.27A",,Chicago,IL,60606,United States,312-727-4221,312-727-3722      ,,Y
2013,7761,AT&T Illinois,225 W. Randolph St.,Ste 27C,Chicago,IL,60606,United States,312-727-2621,312-420-8898,01/30/2013,Y
2012,4093,AT&T Illinois,"225 W. Randolph St., Ste. 27B",,Chicago,IL,60606,United States,312-727-4221,312-727-3722      ,,N
2012,4132,AT&T Illinois,"225 W. Randolph St., Suite 27B",,Chicago,IL,60606,United States,312-727-7569,312-727-5662      ,,N
2012,4160,AT&T Illinois,"225 W. Randolph St., Suite 27B",,Chicago,IL,60606,United States,312-727-7569,312-727-5662      ,,N
2012,4178,AT&T Illinois,225 W. randolph St. Suite 27B,,Chicago,IL,60606,United States,312-727-2200,312-727-3722      ,,N
2012,4341,AT&T Illinois,225 W. randolph St. Suite 27B,,Chicago,IL,60606,United States,312-727-2080,312-727-3722      ,,N
2012,4351,AT&T Illinois,"225 W. Randolph St., Ste 27a",,Chicago,IL,60606,United States,312-727-2621,312-558-1210      ,,N
2012,4422,AT&T Illinois,"225 W. Randolph St., Suite 27B",,Chicago,IL,60606,United States,312-727-7569,312-727-5662   ,,N
2012,4593,AT&T Illinois,225 W. randolph St. Suite 27B,,Chicago,IL,60606,United States,312-551-9144,312-727-3722      ,,Y
2012,4605,AT&T Illinois,"225 W. Randolph St., Ste.27A",,Chicago,IL,60606,United States,312-727-4221,312-727-3722      ,,Y
2011,4093,AT&T Illinois,"225 W. Randolph St., Ste. 27B",,Chicago,IL,60606,United States,312-727-4221,312-727-3722      ,,N
2011,4132,AT&T Illinois,"225 W. Randolph St., Suite 27B",,Chicago,IL,60606,United States,312-727-7569,312-727-5662      ,,N
2011,4160,AT&T Illinois,"225 W. Randolph St., Suite 27B",,Chicago,IL,60606,United States,312-727-7569,312-727-5662      ,,N
2011,4178,AT&T Illinois,225 W. randolph St. Suite 27B,,Chicago,IL,60606,United States,312-727-2200,312-727-3722      ,,N
2011,4341,AT&T Illinois,225 W. randolph St. Suite 27B,,Chicago,IL,60606,United States,312-727-2080,312-727-3722      ,,N
2011,4351,AT&T Illinois,"225 W. Randolph St., Ste 27a",,Chicago,IL,60606,United States,312-727-2621,312-558-1210      ,,N
2011,4593,AT&T Illinois,225 W. randolph St. Suite 27B,,Chicago,IL,60606,United States,312-551-9144,312-727-3722      ,,Y
2011,4605,AT&T Illinois,"225 W. Randolph St., Ste.27A",,Chicago,IL,60606,United States,312-727-4221,312-727-3722      ,,Y
2013,6987,Audrey Selin,"2 N. LaSalle St., Ste. 1700",,Chicago,IL,60602,United States,312-269-5250,312-429-3530,01/07/2013,Y
,6985,Audrey Selin,"2 N. LaSalle St., Ste. 1700",,Chicago,IL,60602,United States,312-269-5250,312-429-3530,01/07/2013,Y
2015,12110,August Group Ltd,500 N Dearborn,Ste. 1150,Chicago,IL,60654,United States,312-810-7890,,01/23/2015,Y
2011,4855,Automatic Doors Inc,113 Sangra Ct,,Streamwood,IL,60107,United States,630-837-4496,630-837-4681  ,,Y
2012,4152,"Avgeris and Associates, Inc","2500 S. Highland Ave., #103",,Lombard,IL,60148,United States,630-620-8684, 630-620-886      ,,Y
2012,4402,"Avgeris and Associates, Inc","2500 S. Highland Ave., #103",,Lombard,IL,60148,United States,630-620-8684, 630-620-886      ,,N
2012,4561,"Avgeris and Associates, Inc","2500 S. Highland Ave., #103",,Lombard,IL,60148,United States,630-620-8684, 630-620-886       ,,N
2011,4152,"Avgeris and Associates, Inc","2500 S. Highland Ave., #103",,Lombard,IL,60148,United States,630-620-8684, 630-620-886      ,,Y
2011,4402,"Avgeris and Associates, Inc","2500 S. Highland Ave., #103",,Lombard,IL,60148,United States,630-620-8684, 630-620-886      ,,N
2011,4561,"Avgeris and Associates, Inc","2500 S. Highland Ave., #103",,Lombard,IL,60148,United States,630-620-8684, 630-620-886       ,,N
,10802,Avigilon,1717 McKinney Ave,,Dallas,TX,75202,United States,1888.281.5182 ,,03/18/2014,Y
2013,4571,"Awerkamp & McClain, PC",P.O. Box 250,,Quincy,IL,62306,United States,217-224-8606, 217-224-512      ,,Y
2012,4571,"Awerkamp & McClain, PC",P.O. Box 250,,Quincy,IL,62306,United States,217-224-8606, 217-224-512      ,,Y
2011,4571,"Awerkamp & McClain, PC",P.O. Box 250,,Quincy,IL,62306,United States,217-224-8606, 217-224-512      ,,Y
2013,8961,Ayala Risk Consulting LLC,1425 Indian Grass Lane,,Grayslake,IL,60030,United States,312-620-0045,,07/22/2013,Y
2015,8044,Baker Hostetler,1050 Connecticut Ave,Suite 1100,Washington,DC,20036,United States,2028611500,,03/15/2013,Y
2014,8044,Baker Hostetler,1050 Connecticut Ave,Suite 1100,Washington,DC,20036,United States,2028611500,,03/15/2013,Y
2013,8044,Baker Hostetler,1050 Connecticut Ave,Suite 1100,Washington,DC,20036,United States,2028611500,,03/15/2013,Y
2015,8042,Baker & Hostetler,1050 Connecticut Ave,Suite 1100,Washington,DC,20036,United States,2028611500,,03/15/2013,Y
2013,8042,Baker & Hostetler,1050 Connecticut Ave,Suite 1100,Washington,DC,20036,United States,2028611500,,03/15/2013,Y
2011,4921,"Balfour Beatty Rail, Inc",3204 Rosemead Blvd.  Ste. 104,,El Monte,CA,91731,United States,626-571-8597,626-571-8086   ,,Y
2012,5503,"Baltimore Tas, LLC",2200 S Michigan,,Chicago,IL,60616,United States,312-881-3176,,07/13/2012,Y
2012,4448,"Bank of America Corp / Bank of America, NA",1 Bryant Park  NY-100-12-02,,New York,NY,10036,United States,646-743-1359,646-855-1381  ,,Y
2012,4516,"Bank of America Corp / Bank of America, NA","1100 N. King Street, Mail Code DE5-001-02-07",,Wilmington,DE,19884,United States,302-432-0956,302-432-0039      ,,Y
2012,4520,"Bank of America Corp / Bank of America, NA",1 Bryant Park  NY-100-12-02,,New York,NY,10036,United States,646-743-1359,646-855-1381  ,,N
2011,4448,"Bank of America Corp / Bank of America, NA",1 Bryant Park  NY-100-12-02,,New York,NY,10036,United States,646-743-1359,646-855-1381  ,,Y
2011,4516,"Bank of America Corp / Bank of America, NA","1100 N. King Street, Mail Code DE5-001-02-07",,Wilmington,DE,19884,United States,302-432-0956,302-432-0039      ,,Y
2011,4841,"Bank of America Corp / Bank of America, NA","1100 N. King St., Mail Code DE5-001-02-07",,Wilmington,DE,19884,United States,302-432-0956,302-974-2108      ,,Y
