COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,COMPENSATION_AMOUNT,CLIENT_ID,CLIENT_NAME,CREATED_DATE
45266,07/01/2015,09/30/2015,28043,Michael,,Alexander,$7000.00,23301,"LMG2, LLC",10/26/2015
45273,07/01/2015,09/30/2015,28043,Michael,,Alexander,$3750.00,18801,"SSP America, Inc.",10/26/2015
45276,07/01/2015,09/30/2015,28043,Michael,,Alexander,$15750.00,13790,Northwestern University,10/26/2015
45279,07/01/2015,09/30/2015,28043,Michael,,Alexander,$7500.00,21925,"Bluebird Network, LLC",10/26/2015
45281,07/01/2015,09/30/2015,28043,Michael,,Alexander,$3750.00,26801,"Scientific Games International, Inc.",10/26/2015
45282,07/01/2015,09/30/2015,28043,Michael,,Alexander,$5000.00,15781,ELECTRONIC KNOWLEDGE INTERCHANGE,10/26/2015
45287,07/01/2015,09/30/2015,28043,Michael,,Alexander,$10000.00,24640,"Rising Medical Solutions, Inc.",10/26/2015
45288,07/01/2015,09/30/2015,28043,Michael,,Alexander,$10500.00,22321,"Xerox State & Local Solutions, Inc.",10/26/2015
45553,07/01/2015,09/30/2015,28262,Michael,,Alexander,$3750.00,18801,"SSP America, Inc.",11/03/2015
45556,07/01/2015,09/30/2015,28262,Michael,,Alexander,$5000.00,15781,ELECTRONIC KNOWLEDGE INTERCHANGE,11/03/2015
45559,07/01/2015,09/30/2015,28262,Michael,,Alexander,$7500.00,21925,"Bluebird Network, LLC",11/03/2015
45562,07/01/2015,09/30/2015,28262,Michael,,Alexander,$15750.00,13790,Northwestern University,11/03/2015
45563,07/01/2015,09/30/2015,28262,Michael,,Alexander,$10000.00,24640,"Rising Medical Solutions, Inc.",11/03/2015
45566,07/01/2015,09/30/2015,28262,Michael,,Alexander,$7000.00,23301,"LMG2, LLC",11/03/2015
45569,07/01/2015,09/30/2015,28262,Michael,,Alexander,$10500.00,22321,"Xerox State & Local Solutions, Inc.",11/03/2015
45572,07/01/2015,09/30/2015,28262,Michael,,Alexander,$3750.00,26801,"Scientific Games International, Inc.",11/03/2015
43053,07/01/2015,09/30/2015,22981,Baird,S,Allis,$149130.00,22681,Lucas Museum of Narrative Art,10/12/2015
45161,07/01/2015,09/30/2015,27912,Michael,A,Alvarez,$5000.00,16383,Hojeij Branded Foods,10/23/2015
45162,07/01/2015,09/30/2015,27912,Michael,A,Alvarez,$5000.00,13626,St. Anthony Hospital,10/23/2015
45163,07/01/2015,09/30/2015,27912,Michael,A,Alvarez,$5000.00,24182,Health Care Council of Illinois,10/23/2015
45164,07/01/2015,09/30/2015,27912,Michael,A,Alvarez,$5000.00,12665,Commonwealth Edison,10/23/2015
42464,07/01/2015,09/30/2015,22337,Jane,F,Anderson,$2172.00,13017,Catholic Bishop of Chicago,10/05/2015
44369,07/01/2015,09/30/2015,22404,Kristopher,J.,Anderson,$6400.00,24456,Illinois Association of REALTORS,10/19/2015
44474,07/01/2015,09/30/2015,23561,Margaret,M,Anderson,$1000.00,23301,"LMG2, LLC",10/20/2015
44826,07/01/2015,09/30/2015,22368,martha,d,bailey,$520.00,17983,"JCDecaux Airport Chicago, LLC",10/20/2015
44828,07/01/2015,09/30/2015,22368,martha,d,bailey,$780.00,22481,"JCDecaux North America, Inc.",10/20/2015
44689,07/01/2015,09/30/2015,27901,James,J,Banks,$500.00,27682,GREGORY DAY,10/20/2015
44690,07/01/2015,09/30/2015,27901,James,J,Banks,$500.00,27676,MITCH RUBIN,10/20/2015
44691,07/01/2015,09/30/2015,27901,James,J,Banks,$500.00,22142,"HALF ACRE BEER COMPANY c/o Gabriel Magliaro, David Bowers",10/20/2015
44692,07/01/2015,09/30/2015,27901,James,J,Banks,$500.00,27675,JAMES SUH,10/20/2015
44693,07/01/2015,09/30/2015,27901,James,J,Banks,$500.00,24629,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.,10/20/2015
44695,07/01/2015,09/30/2015,27901,James,J,Banks,$500.00,27679,HOLLI SALLS,10/20/2015
44697,07/01/2015,09/30/2015,27901,James,J,Banks,$500.00,27680,GW PROPERTY GROUP C/O MITCH GOLTZ,10/20/2015
44699,07/01/2015,09/30/2015,27901,James,J,Banks,$500.00,27681,"1945 DIVERSEY, LLC C/O BART PRZYJEMSKI",10/20/2015
43256,07/01/2015,09/30/2015,27662,William,JP,Banks,$550.00,27501,Clarius Partners,10/13/2015
43257,07/01/2015,09/30/2015,27662,William,JP,Banks,$10000.00,26263,Dom Construction,10/13/2015
43258,07/01/2015,09/30/2015,27662,William,JP,Banks,$5000.00,26264,"HACM 2, LLC",10/13/2015
43259,07/01/2015,09/30/2015,27662,William,JP,Banks,$2000.00,11782,Novak Construction,10/13/2015
43261,07/01/2015,09/30/2015,27662,William,JP,Banks,$500.00,12606,WhirlyBall,10/13/2015
43262,07/01/2015,09/30/2015,27662,William,JP,Banks,$1000.00,26301,Windfall Group,10/13/2015
44911,07/01/2015,09/30/2015,27923,William,JP,Banks,$2000.00,11782,Novak Construction,10/21/2015
44916,07/01/2015,09/30/2015,27923,William,JP,Banks,$1000.00,26301,Windfall Group,10/21/2015
44919,07/01/2015,09/30/2015,27923,William,JP,Banks,$500.00,12606,WhirlyBall,10/21/2015
44922,07/01/2015,09/30/2015,27923,William,JP,Banks,$550.00,27501,Clarius Partners,10/21/2015
44934,07/01/2015,09/30/2015,27923,William,JP,Banks,$10000.00,26263,Dom Construction,10/21/2015
44942,07/01/2015,09/30/2015,27923,William,JP,Banks,$5000.00,26264,"HACM 2, LLC",10/21/2015
45346,07/01/2015,09/30/2015,28141,William,JP,Banks,$500.00,12606,WhirlyBall,10/28/2015
45350,07/01/2015,09/30/2015,28141,William,JP,Banks,$5000.00,26264,"HACM 2, LLC",10/28/2015
45351,07/01/2015,09/30/2015,28141,William,JP,Banks,$550.00,27501,Clarius Partners,10/28/2015
45359,07/01/2015,09/30/2015,28141,William,JP,Banks,$10000.00,26263,Dom Construction,10/28/2015
45370,07/01/2015,09/30/2015,28141,William,JP,Banks,$1000.00,26301,Windfall Group,10/28/2015
45372,07/01/2015,09/30/2015,28141,William,JP,Banks,$2000.00,11782,Novak Construction,10/28/2015
45581,07/01/2015,09/30/2015,26902,Timothy,,Barton,$1320.00,27061,Midwest Related,11/04/2015
44464,07/01/2015,09/30/2015,22756,Jay,,Beasley,$5424.00,13687,Constellation Energy Group,10/20/2015
43427,07/01/2015,09/30/2015,22588,Brian,A,Bernardoni,$15000.00,24301,Chicago Association of REALTORS,10/15/2015
44234,07/01/2015,09/30/2015,22689,Roger,H,Bickel,$1500.00,17001,"The Grove, Inc",10/19/2015
45201,07/01/2015,09/30/2015,22764,Mary Kay,,Bonoma,$2000.00,12449,Illinois Restaurant Association,10/23/2015
43769,07/01/2015,09/30/2015,26461,John,L,Borovicka,$10000.00,24640,"Rising Medical Solutions, Inc.",10/15/2015
43773,07/01/2015,09/30/2015,26461,John,L,Borovicka,$5000.00,15781,ELECTRONIC KNOWLEDGE INTERCHANGE,10/15/2015
43776,07/01/2015,09/30/2015,26461,John,L,Borovicka,$3750.00,18801,"SSP America, Inc.",10/15/2015
43779,07/01/2015,09/30/2015,26461,John,L,Borovicka,$15750.00,13790,Northwestern University,10/15/2015
43780,07/01/2015,09/30/2015,26461,John,L,Borovicka,$7000.00,23301,"LMG2, LLC",10/15/2015
43783,07/01/2015,09/30/2015,26461,John,L,Borovicka,$10500.00,22321,"Xerox State & Local Solutions, Inc.",10/15/2015
43785,07/01/2015,09/30/2015,26461,John,L,Borovicka,$7500.00,21925,"Bluebird Network, LLC",10/15/2015
43787,07/01/2015,09/30/2015,26461,John,L,Borovicka,$3750.00,26801,"Scientific Games International, Inc.",10/15/2015
45241,07/01/2015,09/30/2015,28042,John,L,Borovicka,$10500.00,22321,"Xerox State & Local Solutions, Inc.",10/26/2015
45244,07/01/2015,09/30/2015,28042,John,L,Borovicka,$3750.00,26801,"Scientific Games International, Inc.",10/26/2015
45247,07/01/2015,09/30/2015,28042,John,L,Borovicka,$15750.00,13790,Northwestern University,10/26/2015
45250,07/01/2015,09/30/2015,28042,John,L,Borovicka,$10000.00,24640,"Rising Medical Solutions, Inc.",10/26/2015
45251,07/01/2015,09/30/2015,28042,John,L,Borovicka,$7000.00,23301,"LMG2, LLC",10/26/2015
45255,07/01/2015,09/30/2015,28042,John,L,Borovicka,$3750.00,18801,"SSP America, Inc.",10/26/2015
45262,07/01/2015,09/30/2015,28042,John,L,Borovicka,$7500.00,21925,"Bluebird Network, LLC",10/26/2015
45265,07/01/2015,09/30/2015,28042,John,L,Borovicka,$5000.00,15781,ELECTRONIC KNOWLEDGE INTERCHANGE,10/26/2015
45523,07/01/2015,09/30/2015,28261,John,L,Borovicka,$3750.00,26801,"Scientific Games International, Inc.",11/03/2015
45525,07/01/2015,09/30/2015,28261,John,L,Borovicka,$7500.00,21925,"Bluebird Network, LLC",11/03/2015
45527,07/01/2015,09/30/2015,28261,John,L,Borovicka,$5000.00,15781,ELECTRONIC KNOWLEDGE INTERCHANGE,11/03/2015
45532,07/01/2015,09/30/2015,28261,John,L,Borovicka,$10000.00,24640,"Rising Medical Solutions, Inc.",11/03/2015
45533,07/01/2015,09/30/2015,28261,John,L,Borovicka,$3750.00,18801,"SSP America, Inc.",11/03/2015
45536,07/01/2015,09/30/2015,28261,John,L,Borovicka,$7000.00,23301,"LMG2, LLC",11/03/2015
45543,07/01/2015,09/30/2015,28261,John,L,Borovicka,$10500.00,22321,"Xerox State & Local Solutions, Inc.",11/03/2015
45547,07/01/2015,09/30/2015,28261,John,L,Borovicka,$15750.00,13790,Northwestern University,11/03/2015
44260,07/01/2015,09/30/2015,22685,Pablo,,Brezman,$1514.00,12544,"JCDecaux Chicago, LLC",10/19/2015
43050,07/01/2015,09/30/2015,22270,Clint,V,Brown,$1000.00,24382,Local 881United Food and Commercial Workers,10/12/2015
44463,07/01/2015,09/30/2015,22491,Kathy,R,Brown,$1350.00,24483,Powers and Sons Construction,10/20/2015
44657,07/01/2015,09/30/2015,25601,Michael,E,Brown,$2000.00,22282,"SDI (System Development.Integration, LLC)",10/20/2015
44658,07/01/2015,09/30/2015,25601,Michael,E,Brown,$1000.00,16761,"Johnson Controls, Inc",10/20/2015
44732,07/01/2015,09/30/2015,25601,Michael,E,Brown,$1000.00,12629,Oracle,10/20/2015
44734,07/01/2015,09/30/2015,25601,Michael,E,Brown,$1000.00,12541,Reliable Asphalt Company,10/20/2015
44735,07/01/2015,09/30/2015,25601,Michael,E,Brown,$2000.00,22281,McDonagh Demolition,10/20/2015
44174,07/01/2015,09/30/2015,24121,Theodore,J,Brunsvold,$2000.00,21012,HP (Hewlett Packard),10/16/2015
44177,07/01/2015,09/30/2015,24121,Theodore,J,Brunsvold,$2000.00,11653,3M Corporation,10/16/2015
42322,07/01/2015,09/30/2015,22427,Gabrielle,,Brussel,$33659.57,16623,"Interstate JCDecaux, LLC",09/30/2015
42555,07/01/2015,09/30/2015,22572,Marilyn,,Bush,$182.29,24502,"Bank of America, N.A.",10/06/2015
42321,07/01/2015,09/30/2015,22392,Sarah,,Calder,$1000.00,12601,Metropolitan Chicago Healthcare Council,09/30/2015
44237,07/01/2015,09/30/2015,27561,Mitchell,A,Carrell,$1000.00,27461,"CubeSmart, LP",10/19/2015
44238,07/01/2015,09/30/2015,27561,Mitchell,A,Carrell,$2000.00,26823,Laramar Kona Real Estate Associates LLC,10/19/2015
44239,07/01/2015,09/30/2015,27561,Mitchell,A,Carrell,$1000.00,20066,"Optima Center Chicago II, LLC",10/19/2015
44240,07/01/2015,09/30/2015,27561,Mitchell,A,Carrell,$1000.00,24668,"NM Project Company, LLC",10/19/2015
44242,07/01/2015,09/30/2015,27561,Mitchell,A,Carrell,$3000.00,17944,"Sheffield Properties of Illinois, Inc",10/19/2015
43185,07/01/2015,09/30/2015,22871,Jonathan,,Casiano,$1560.00,16841,PNC Bank,10/13/2015
44829,07/01/2015,09/30/2015,23065,Danielle,,Cassel,$35000.00,20981,"Solstice on the Park, LLC",10/20/2015
44830,07/01/2015,09/30/2015,23065,Danielle,,Cassel,$1000.00,23261,"Ruiz, Michele and Jesse",10/20/2015
45641,07/01/2015,09/30/2015,28361,Danielle,,Cassel,$35000.00,20981,"Solstice on the Park, LLC",11/09/2015
45646,07/01/2015,09/30/2015,28361,Danielle,,Cassel,$1000.00,23261,"Ruiz, Michele and Jesse",11/09/2015
44431,07/01/2015,09/30/2015,22796,Peter,,Cassel,$500.00,11885,1600 E 53rd St. LLC,10/19/2015
44432,07/01/2015,09/30/2015,22796,Peter,,Cassel,$500.00,18303,1100 E 47th Street LLC,10/19/2015
44434,07/01/2015,09/30/2015,22796,Peter,,Cassel,$500.00,20981,"Solstice on the Park, LLC",10/19/2015
44435,07/01/2015,09/30/2015,22796,Peter,,Cassel,$2000.00,12745,1525 HP LLC,10/19/2015
44439,07/01/2015,09/30/2015,22796,Peter,,Cassel,$500.00,11880,MAC Property Management,10/19/2015
44562,07/01/2015,09/30/2015,27894,Gery,J.,Chico,$562.50,25661,"Clear Channel Outdoor, Inc. d/b/a/ Clear Channel Airports",10/20/2015
44564,07/01/2015,09/30/2015,27894,Gery,J.,Chico,$1732.50,27341,Intrinsic Schools,10/20/2015
44565,07/01/2015,09/30/2015,27894,Gery,J.,Chico,$787.50,25981,Noble Network of Charter Schools,10/20/2015
44568,07/01/2015,09/30/2015,27894,Gery,J.,Chico,$1580.00,25662,Spirit Airlines,10/20/2015
44570,07/01/2015,09/30/2015,27894,Gery,J.,Chico,$1875.00,26541,"Unison Consulting, Inc.",10/20/2015
44660,07/01/2015,09/30/2015,27903,Gery,J.,Chico,$562.50,25661,"Clear Channel Outdoor, Inc. d/b/a/ Clear Channel Airports",10/20/2015
44662,07/01/2015,09/30/2015,27903,Gery,J.,Chico,$1875.00,26541,"Unison Consulting, Inc.",10/20/2015
44663,07/01/2015,09/30/2015,27903,Gery,J.,Chico,$787.50,25981,Noble Network of Charter Schools,10/20/2015
44665,07/01/2015,09/30/2015,27903,Gery,J.,Chico,$1732.50,27341,Intrinsic Schools,10/20/2015
44666,07/01/2015,09/30/2015,27903,Gery,J.,Chico,$1580.00,25662,Spirit Airlines,10/20/2015
44246,07/01/2015,09/30/2015,22924,Jean,,Chidley,$1020.00,14922,Chicago Parking Meters LLC,10/19/2015
42362,07/01/2015,09/30/2015,22599,Michael,P,Ciaccio,$2500.00,16387,Teamsters Joint Council 25,10/01/2015
43429,07/01/2015,09/30/2015,26682,Bernard,I,Citron,$1785.00,26962,BCG Enterprises LLC,10/15/2015
43432,07/01/2015,09/30/2015,26682,Bernard,I,Citron,$1837.50,21068,First American Properties,10/15/2015
43435,07/01/2015,09/30/2015,26682,Bernard,I,Citron,$315.00,22121,"Gagerman, Gary",10/15/2015
42441,07/01/2015,09/30/2015,22336,Nicolas,,Clochard-Bossuet,$2300.00,16623,"Interstate JCDecaux, LLC",10/05/2015
42442,07/01/2015,09/30/2015,22336,Nicolas,,Clochard-Bossuet,$460.00,12425,"JCDecaux North America, Inc",10/05/2015
43232,07/01/2015,09/30/2015,24141,Thomas,P,Coffey,$5000.00,20682,Presence Health System,10/13/2015
43233,07/01/2015,09/30/2015,24141,Thomas,P,Coffey,$1000.00,12921,Mercury Cruiselines,10/13/2015
43234,07/01/2015,09/30/2015,24141,Thomas,P,Coffey,$1000.00,24504,Ann and Robert Lurie Childrens Hospital,10/13/2015
43235,07/01/2015,09/30/2015,24141,Thomas,P,Coffey,$1000.00,12638,Tawani Enterprises Inc,10/13/2015
43236,07/01/2015,09/30/2015,24141,Thomas,P,Coffey,$1000.00,23861,Hearn Company,10/13/2015
44733,07/01/2015,09/30/2015,26621,Paul,S,Colgan,$4000.00,26941,"Greater Chicago Combine, Inc.",10/20/2015
44736,07/01/2015,09/30/2015,26621,Paul,S,Colgan,$10800.00,22161,Home Builders Association of Greater Chicago,10/20/2015
44712,07/01/2015,09/30/2015,23421,Kevin,,Conlon,$3000.00,24584,PILMC,10/20/2015
44671,07/01/2015,09/30/2015,26981,Holly,,Cooper,$13625.00,26832,"Xerox Business Services, LLC",10/20/2015
43048,07/01/2015,09/30/2015,23521,John,C,Corrigan,$21000.00,14759,"Xerox Business Services, LLC",10/12/2015
44192,07/01/2015,09/30/2015,22663,Frank,J.,Cortese,$1000.00,12653,Teamsters Joint Council 25,10/16/2015
44193,07/01/2015,09/30/2015,22663,Frank,J.,Cortese,$1000.00,20970,"Heat and Frost Insulators/Asbestos Workers, Local 17",10/16/2015
44195,07/01/2015,09/30/2015,22663,Frank,J.,Cortese,$1000.00,20967,Chicago Film Studio LLC,10/16/2015
44196,07/01/2015,09/30/2015,22663,Frank,J.,Cortese,$2000.00,12926,"Republic Services, Inc",10/16/2015
44197,07/01/2015,09/30/2015,22663,Frank,J.,Cortese,$800.00,12529,"Theatrical Stage Employees Union, Local 2",10/16/2015
44198,07/01/2015,09/30/2015,22663,Frank,J.,Cortese,$1000.00,14748,Illinois Pipe Trades Advancement & Promotion Program,10/16/2015
42361,07/01/2015,09/30/2015,22595,Jeffrey,W,Crabtree,$2500.00,16387,Teamsters Joint Council 25,10/01/2015
43073,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$2500.00,11592,Aon Corporation,10/12/2015
43074,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$3000.00,16918,"Live Nation Worldwide, Inc. (FKA Clear Channel Entertainment)",10/12/2015
43075,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$2500.00,11594,"American International Group, INC (AIG)",10/12/2015
43076,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$1000.00,11588,Microsoft Corporation,10/12/2015
43077,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$2500.00,16938,Unisys Corporation,10/12/2015
43078,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$2500.00,16937,Westfield Group,10/12/2015
43079,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$4000.00,16939,Siemens Corporation,10/12/2015
43080,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$3000.00,20421,"Koch Companies Public Sector, LLC",10/12/2015
43081,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$3000.00,20581,JPMorgan Chase & Co.,10/12/2015
43082,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$2500.00,11598,InterPark Incorporated,10/12/2015
43083,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$3000.00,22622,Growth Energy,10/12/2015
43084,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$3000.00,16911,"Clear Channel Outdoor, Inc.,d/b/a Clear Channel Airports",10/12/2015
43085,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$1000.00,23101,Building Owners & Managers Assoc. of Chicago (BOMA),10/12/2015
43087,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$4000.00,16926,RAI Services Company,10/12/2015
43088,07/01/2015,09/30/2015,22700,Timothy,J,Dart,$1000.00,18146,"Chicago Cubs Baseball Club, LLC",10/12/2015
43188,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$4000.00,16926,RAI Services Company,10/13/2015
43191,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$3000.00,20581,JPMorgan Chase & Co.,10/13/2015
43195,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$2500.00,16937,Westfield Group,10/13/2015
43198,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$3000.00,16911,"Clear Channel Outdoor, Inc.,d/b/a Clear Channel Airports",10/13/2015
43200,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$3000.00,16918,"Live Nation Worldwide, Inc. (FKA Clear Channel Entertainment)",10/13/2015
43203,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$3000.00,20421,"Koch Companies Public Sector, LLC",10/13/2015
43206,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$4000.00,16939,Siemens Corporation,10/13/2015
43210,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$1000.00,18146,"Chicago Cubs Baseball Club, LLC",10/13/2015
43213,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$2500.00,11594,"American International Group, INC (AIG)",10/13/2015
43214,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$2500.00,11598,InterPark Incorporated,10/13/2015
43217,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$3000.00,22622,Growth Energy,10/13/2015
43220,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$2500.00,16938,Unisys Corporation,10/13/2015
43225,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$1000.00,11588,Microsoft Corporation,10/13/2015
43228,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$2500.00,11592,Aon Corporation,10/13/2015
43229,07/01/2015,09/30/2015,27871,Timothy,J,Dart,$1000.00,23101,Building Owners & Managers Assoc. of Chicago (BOMA),10/13/2015
42554,07/01/2015,09/30/2015,22570,Thomas,R,Denes,$75.00,24502,"Bank of America, N.A.",10/06/2015
44223,07/01/2015,09/30/2015,22609,Luis,E,Diaz-Perez,$62.41,24522,ComEd,10/18/2015
44567,07/01/2015,09/30/2015,24261,Geoffrey,,Dickinson,$29588.00,14752,Presence Health,10/20/2015
44573,07/01/2015,09/30/2015,27898,Geoffrey,,Dickinson,$29588.00,14752,Presence Health,10/20/2015
44578,07/01/2015,09/30/2015,27898,Geoffrey,,Dickinson,$9472.00,13838,Resurrection Medical Center,10/20/2015
44331,07/01/2015,09/30/2015,26505,Mariah,,DiGrino,$5000.00,21145,John Buck Co.,10/19/2015
44332,07/01/2015,09/30/2015,26505,Mariah,,DiGrino,$2000.00,26782,"Motor Row Properties, LLC",10/19/2015
44333,07/01/2015,09/30/2015,26505,Mariah,,DiGrino,$5000.00,21162,"Navy Pier, Inc.",10/19/2015
44334,07/01/2015,09/30/2015,26505,Mariah,,DiGrino,$1000.00,26783,SMASHotels Chicago LLC,10/19/2015
44367,07/01/2015,09/30/2015,26505,Mariah,,DiGrino,$1000.00,22102,"Three Corners Development, Inc.",10/19/2015
44376,07/01/2015,09/30/2015,27893,Mariah,,DiGrino,$5000.00,21145,John Buck Co.,10/19/2015
44381,07/01/2015,09/30/2015,27893,Mariah,,DiGrino,$5000.00,21162,"Navy Pier, Inc.",10/19/2015
44385,07/01/2015,09/30/2015,27893,Mariah,,DiGrino,$1000.00,22102,"Three Corners Development, Inc.",10/19/2015
44391,07/01/2015,09/30/2015,27893,Mariah,,DiGrino,$2000.00,26782,"Motor Row Properties, LLC",10/19/2015
44393,07/01/2015,09/30/2015,27893,Mariah,,DiGrino,$1000.00,26783,SMASHotels Chicago LLC,10/19/2015
44800,07/01/2015,09/30/2015,27910,Mariah,,DiGrino,$5000.00,21145,John Buck Co.,10/20/2015
44805,07/01/2015,09/30/2015,27910,Mariah,,DiGrino,$5000.00,21162,"Navy Pier, Inc.",10/20/2015
44809,07/01/2015,09/30/2015,27910,Mariah,,DiGrino,$1000.00,22102,"Three Corners Development, Inc.",10/20/2015
44815,07/01/2015,09/30/2015,27910,Mariah,,DiGrino,$2000.00,26782,"Motor Row Properties, LLC",10/20/2015
44818,07/01/2015,09/30/2015,27910,Mariah,,DiGrino,$1000.00,26783,SMASHotels Chicago LLC,10/20/2015
44819,07/01/2015,09/30/2015,27910,Mariah,,DiGrino,$1000.00,27664,Bonnie Investment Group,10/20/2015
44820,07/01/2015,09/30/2015,27910,Mariah,,DiGrino,$1000.00,27684,West Highland Capital Partners,10/20/2015
42364,07/01/2015,09/30/2015,22326,Jeffrey,A,Dixon,$12000.00,16141,Illinois Hotel and Lodging Association,10/01/2015
43246,07/01/2015,09/30/2015,26502,Jesse,,Dodson,$2500.00,26181,Crescent Heights,10/13/2015
43247,07/01/2015,09/30/2015,26502,Jesse,,Dodson,$1000.00,24541,Fifield Realty Corporation,10/13/2015
44584,07/01/2015,09/30/2015,27899,Jesse,,Dodson,$1000.00,24541,Fifield Realty Corporation,10/20/2015
44587,07/01/2015,09/30/2015,27899,Jesse,,Dodson,$2500.00,26181,Crescent Heights,10/20/2015
44642,07/01/2015,09/30/2015,22855,Pat,,Doerr,$3000.00,21005,Hospitality Business Assoc of Chicago,10/20/2015
42603,07/01/2015,09/30/2015,27201,John,A,Doerrer,$7500.00,15944,IPT LLC,10/07/2015
42604,07/01/2015,09/30/2015,27201,John,A,Doerrer,$6000.00,11846,Distilled Spirits Council of United States,10/07/2015
42606,07/01/2015,09/30/2015,27201,John,A,Doerrer,$4500.00,11852,Shoreline Sightseeing,10/07/2015
42607,07/01/2015,09/30/2015,27201,John,A,Doerrer,$9000.00,23081,American Petroleum Institute,10/07/2015
42609,07/01/2015,09/30/2015,27201,John,A,Doerrer,$6000.00,11847,Chicago Retail Merchants Assoc.,10/07/2015
