Year,LOBBYIST_ID,EMPLOYER_ID,CLIENT_ID,LOBBYIST_SALUTATION,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,LOBBYIST_SUFFIX,EMPLOYER_NAME,CLIENT_NAME
2015,23545,11521,21602,,Richard,,Toth,,"Daley and Georges, Ltd.",Zheng Construction Corp.
2015,23545,11521,19602,,Richard,,Toth,,"Daley and Georges, Ltd.","Lexington Homes, LLC "
2015,22338,11521,19602,,Richard,,Toth,,"Daley and Georges, Ltd.","Lexington Homes, LLC "
2015,23545,11521,16361,,Richard,,Toth,,"Daley and Georges, Ltd.",CIM Group
2015,22338,11521,16361,,Richard,,Toth,,"Daley and Georges, Ltd.",CIM Group
2015,23545,11521,23730,,Richard,,Toth,,"Daley and Georges, Ltd.",Cedar Street Companies
2015,22840,8221,18541,Mr.,Michael,,Tosh,,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP
2015,24541,8221,18541,Mr.,Michael,,Tosh,,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP
2015,27261,13201,27281,,Mark,,Toomey,,"Legal & General Investment Management America, Inc.","Legal & General Investment Management America, Inc."
2015,22468,4558,24467,Ms.,Stephanie,G,Tomblin,,"JP Morgan Securities, LLC",J.P. Morgan Securities LLC
2015,27911,4406,12449,Mr.,Sam,,Toia,,Illinois Restaurant Association,Illinois Restaurant Association
2015,22771,4406,12449,Mr.,Sam,,Toia,,Illinois Restaurant Association,Illinois Restaurant Association
2015,26862,4406,12449,Mr.,Sam,,Toia,,Illinois Restaurant Association,Illinois Restaurant Association
2015,22594,7281,17962,Ms.,Margaret ,M,Tinucci,,Lighten-Gale LLC d/b/a Lighten-Gale Group,Turnstone Development Corporation
2015,22875,10406,21206,Ms.,Claire,M,Tinley,,Unite Here Local 1,Unite Here Local 1
2015,22528,4699,12577,,William,K,Thompson,,"Raymond James & Assoc., Inc.","Raymond James & Assoc., Inc."
2015,22728,8642,13113,,Patrick,D,Thompson,,"Burke, Warren, MacKay & Serritella, P.C.",Victor Sign Corp
2015,22728,8642,24663,,Patrick,D,Thompson,,"Burke, Warren, MacKay & Serritella, P.C.",PanCal Opportunity LLC
2015,22728,8642,12383,,Patrick,D,Thompson,,"Burke, Warren, MacKay & Serritella, P.C.",JAM Productions
2015,22728,8642,21363,,Patrick,D,Thompson,,"Burke, Warren, MacKay & Serritella, P.C.",AD Madison Enterprises
2015,22728,8642,21365,,Patrick,D,Thompson,,"Burke, Warren, MacKay & Serritella, P.C.",969 Land LLC
2015,22604,10681,22781,Ms.,Kathy,,Thompson,,Private Bank,The Private Bank
2015,22776,11161,12695,Ms.,Stacey,L,Thomas,,Clear Channel Outdoor,Clear Channel Outdoor
2015,23166,12201,24801,Ms.,Stacey,L,Thomas,,"iHeartMedia, Inc., Clear Channel Outdoor, and Affiliated Entities","iHeartMedia, Inc., Clear Channel Outdoor, and Affiliated Entities"
2015,22579,4885,12487,Mr.,Ajay,,Thomas,,William Blair and Co.,William Blair
2015,22905,4653,12347,Mr.,Bill,,Thanoukos,,BMO Harris Bank NA,BMO Harris Bank NA
2015,24584,7430,13086,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Village of Bensenville
2015,26162,7430,13086,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Village of Bensenville
2015,22861,7430,13086,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Village of Bensenville
2015,24602,7430,13086,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Village of Bensenville
2015,24601,7430,13086,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Village of Bensenville
2015,27961,7430,12541,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Reliable Asphalt Company
2015,24584,7430,12541,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Reliable Asphalt Company
2015,24601,7430,12541,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Reliable Asphalt Company
2015,22861,7430,12541,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Reliable Asphalt Company
2015,26162,7430,12541,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Reliable Asphalt Company
2015,24602,7430,12541,Mr.,Terry,W,Teele,,"Rory Group, LLC.",Reliable Asphalt Company
2015,24601,7430,16877,Mr.,Terry,W,Teele,,"Rory Group, LLC.",FH Paschen
2015,24602,7430,16877,Mr.,Terry,W,Teele,,"Rory Group, LLC.",FH Paschen
2015,26162,7430,16877,Mr.,Terry,W,Teele,,"Rory Group, LLC.",FH Paschen
2015,24584,7430,16877,Mr.,Terry,W,Teele,,"Rory Group, LLC.",FH Paschen
2015,27961,7430,16877,Mr.,Terry,W,Teele,,"Rory Group, LLC.",FH Paschen
2015,22861,7430,16877,Mr.,Terry,W,Teele,,"Rory Group, LLC.",FH Paschen
2015,22861,4435,14862,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",The Leonis Group
2015,24601,4435,14862,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",The Leonis Group
2015,26162,4435,14862,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",The Leonis Group
2015,24584,4435,14862,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",The Leonis Group
2015,24602,4435,14862,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",The Leonis Group
2015,27961,4435,14862,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",The Leonis Group
2015,24602,4435,12516,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",SET Environmental
2015,24601,4435,12516,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",SET Environmental
2015,27961,4435,12516,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",SET Environmental
2015,22861,4435,12516,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",SET Environmental
2015,26162,4435,12516,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",SET Environmental
2015,24584,4435,12516,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",SET Environmental
2015,22861,4435,12515,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",Roundy's
2015,24601,4435,12515,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",Roundy's
2015,24602,4435,12515,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",Roundy's
2015,24584,4435,12515,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",Roundy's
2015,26162,4435,12515,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",Roundy's
2015,27961,4435,12515,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.",Roundy's
2015,27961,4435,12411,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","AECOM USA, Inc."
2015,24584,4435,12411,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","AECOM USA, Inc."
2015,26162,4435,12411,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","AECOM USA, Inc."
2015,24602,4435,12411,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","AECOM USA, Inc."
2015,24601,4435,12411,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","AECOM USA, Inc."
2015,22861,4435,12411,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","AECOM USA, Inc."
2015,26162,4435,25621,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","11 South LaSalle Hotel Partners, LLC"
2015,24601,4435,25621,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","11 South LaSalle Hotel Partners, LLC"
2015,24584,4435,25621,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","11 South LaSalle Hotel Partners, LLC"
2015,27961,4435,25621,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","11 South LaSalle Hotel Partners, LLC"
2015,24602,4435,25621,Mr.,Terry,W,Teele,,"Urban Strategies, Inc.","11 South LaSalle Hotel Partners, LLC"
2015,22365,6943,16263,Mr.,Timothy,A,Taylor,,Electrical Contractors' Association of City of Chicago,Electrical Contractors' Association of City of Chicago
2015,22902,7861,21206,Mr.,Henry,S,Tamarin,,Unite Here,Unite Here Local 1
2015,22274,7461,16801,Mr.,Robert,B,Talan,,TALAN&KTSANES,TALAN&KTSANES
2015,22581,5122,16748,,Ron,,Tabaczynski,,Building Owners and Managers Association of Chicago (BOMA/Chicago),Building Owners and Managers Association of Chicago
2015,27981,11521,26103,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.",Wisconsin Energy Corporation
2015,25461,11521,26103,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.",Wisconsin Energy Corporation
2015,27981,11521,27721,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.",Gaming & Entertainment Management Illinois LLC
2015,25461,11521,24961,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.","Brackenbox, Inc"
2015,23501,11521,24961,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.","Brackenbox, Inc"
2015,23761,11521,24961,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.","Brackenbox, Inc"
2015,27981,11521,24961,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.","Brackenbox, Inc"
2015,23761,11521,25122,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.",1-800 Contacts
2015,27981,11521,25122,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.",1-800 Contacts
2015,25461,11521,25122,Mr.,Michael,,Synowiecki,,"Daley and Georges, Ltd.",1-800 Contacts
2015,22783,11721,24594,Mr.,Matthew,M,Swentkofske,,PLS Financial Services Inc,PLS Financial Services
2015,22513,7805,17202,Mr.,John,T,Suzuki,,"Collateral Trustee, Inc","Collateral Trustee, Inc"
2015,24743,12112,16181,Mr.,Michael,,Sutton,PE,"Infrastructure Engineering, Inc. ","Infrastructure Engineering, Inc. "
2015,22961,12112,16181,Mr.,Michael,,Sutton,PE,"Infrastructure Engineering, Inc. ","Infrastructure Engineering, Inc. "
2015,25081,12112,16181,Mr.,Michael,,Sutton,PE,"Infrastructure Engineering, Inc. ","Infrastructure Engineering, Inc. "
2015,28222,4251,17244,Mr.,James,W,Sullivan,,James Sullivan,IIIFFC
2015,28021,4251,17244,Mr.,James,W,Sullivan,,James Sullivan,IIIFFC
2015,22364,4251,17244,Mr.,James,W,Sullivan,,James Sullivan,IIIFFC
2015,22726,4598,12845,Mr.,Thomas,M.,Suffredin,,"Lawrence J. Suffredin, Jr.",Museums in the Park
2015,22726,4598,24441,Mr.,Thomas,M.,Suffredin,,"Lawrence J. Suffredin, Jr.",Amazon.com
2015,27621,12041,25301,,Lawrence,J,Suffredin,Jr.,Lawrence Suffredin,"National Elevator Industry, Inc."
2015,24061,12041,25301,,Lawrence,J,Suffredin,Jr.,Lawrence Suffredin,"National Elevator Industry, Inc."
2015,22331,12041,13068,,Lawrence,J,Suffredin,Jr.,Lawrence Suffredin,Museums in the Park
2015,24061,12041,13068,,Lawrence,J,Suffredin,Jr.,Lawrence Suffredin,Museums in the Park
2015,27621,12041,13068,,Lawrence,J,Suffredin,Jr.,Lawrence Suffredin,Museums in the Park
2015,27621,12041,24441,,Lawrence,J,Suffredin,Jr.,Lawrence Suffredin,Amazon.com
2015,24061,12041,24441,,Lawrence,J,Suffredin,Jr.,Lawrence Suffredin,Amazon.com
2015,22331,12041,24441,,Lawrence,J,Suffredin,Jr.,Lawrence Suffredin,Amazon.com
2015,22296,12001,14765,Ms.,Jeanette,,Sublett,,"Neal & Leroy, LLC",Public Building Commission of Chicago
2015,22296,12001,20943,Ms.,Jeanette,,Sublett,,"Neal & Leroy, LLC",Metropolitan Pier & Expo Authority
2015,22296,12001,24491,Ms.,Jeanette,,Sublett,,"Neal & Leroy, LLC",Chicago Board of Education
2015,25241,12001,11620,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC","Wal-Mart Stores, Inc."
2015,22637,12001,11620,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC","Wal-Mart Stores, Inc."
2015,27822,12001,11620,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC","Wal-Mart Stores, Inc."
2015,27822,12001,12104,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",ULICH Children's Advantage Network
2015,22637,12001,12104,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",ULICH Children's Advantage Network
2015,25241,12001,12104,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",ULICH Children's Advantage Network
2015,27822,12001,24535,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC","Terraco, Inc"
2015,22637,12001,24535,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC","Terraco, Inc"
2015,25241,12001,24535,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC","Terraco, Inc"
2015,22637,12001,16344,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Sterling Bay Companies
2015,27822,12001,16344,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Sterling Bay Companies
2015,25241,12001,16344,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Sterling Bay Companies
2015,27822,12001,25945,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Patrick Fitzgerald
2015,25241,12001,25945,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Patrick Fitzgerald
2015,22637,12001,12102,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Northwestern Memorial Hospital
2015,27822,12001,12102,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Northwestern Memorial Hospital
2015,25241,12001,12102,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Northwestern Memorial Hospital
2015,27822,12001,27608,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Charles J. Fiore Nursery Company
2015,27822,12001,21165,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Baker Development Corporation
2015,25241,12001,21165,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Baker Development Corporation
2015,22637,12001,21165,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Baker Development Corporation
2015,25241,12001,11642,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Avgeris & Associates
2015,27822,12001,11642,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Avgeris & Associates
2015,22637,12001,11642,Ms.,Carol,,Stubblefield,Esq,"Neal & Leroy, LLC",Avgeris & Associates
2015,24661,11881,24164,Ms.,Mary,M,Streett,,BP Corporation North America Inc.,BP Corporation North America iNC.
2015,27221,13181,27302,Mrs.,Kathleen,,Strand,,Coca-Cola,Coca-Cola
2015,22898,4731,14821,Mr.,Donald,J,Storino,,Fidelity Consulting Group LLC,"Areas USA, Inc."
2015,22717,9923,20008,Ms.,Stacy,L,Stoll,,U.S. Bank National Association,U.S. Bank National Association
2015,22321,12021,24421,Mr.,Damon,,Stewart,,DIRECTV LLC,DIRECTV LLC
2015,22833,7346,16711,,Charles,,Stephens,,"Zipcar, Inc.","Zipcar, Inc."
2015,22582,12072,12658,Ms.,Jan,,Starr,,Jan Starr,Respiratory Health Association Metropolitan Chicago
2015,22582,12072,16847,Ms.,Jan,,Starr,,Jan Starr,PLS Financial Services
2015,22582,12072,21281,Ms.,Jan,,Starr,,Jan Starr,Holy Cross Hospital / Sinai Health
2015,22582,12072,12659,Ms.,Jan,,Starr,,Jan Starr,Barr Management
2015,22582,12072,12660,Ms.,Jan,,Starr,,Jan Starr,Argo Tea
2015,22967,7961,22501,Ms.,Lorna,L,Stark,,KPMG LLP,KPMG LLP
2015,22469,11541,23382,Mr.,Michael,C,Stannard,,"Brown Traffic Products, Inc.",Polara Engineering
2015,22610,7727,14076,Mr.,Daniel,C,Sprehe,,JP Morgan Chase & Co,JP Morgan Chase & Co.
2015,22507,7481,16821,,Carolyn,E,Sorock,,Illinois Bankers Association,Illinois Bankers Association
2015,27082,12581,27142,Mr.,James,J,Soreng,,Resolute Consulting,Illinois Beverage Association
2015,22821,4705,15910,Mrs.,YaFawn,,Smith,,Comcast,Comcast
2015,22397,7321,16683,Mr.,Willie,,Smith,,"Chicago Beverage Systems, L.L.C.","Chicago Beverage Systems, L.L.C."
2015,22992,10362,21801,,William,F,Smith,,Cornerstone Government Affairs,The Pizzuti Companies
2015,24501,10362,21801,,William,F,Smith,,Cornerstone Government Affairs,The Pizzuti Companies
2015,24545,10362,21801,,William,F,Smith,,Cornerstone Government Affairs,The Pizzuti Companies
2015,23721,10362,21801,,William,F,Smith,,Cornerstone Government Affairs,The Pizzuti Companies
2015,23721,10362,18782,,William,F,Smith,,Cornerstone Government Affairs,"NRG Energy, Inc."
